state,year,quarter,count,amount,avg_transaction_value
Himachal Pradesh,2024,2,5194,10008705.0,1926.9743935309973
Himachal Pradesh,2024,3,5272,10538999.0,1999.0514036418817
Himachal Pradesh,2024,4,6697,14090523.0,2104.005226220696
Himachal Pradesh,2024,1,5430,10433254.0,1921.409576427256
Uttarakhand,2024,2,10311,17754447.0,1721.8938027349432
Uttarakhand,2024,3,10487,17860144.0,1703.0746638695528
Uttarakhand,2024,4,13090,23367549.0,1785.1450725744844
Uttarakhand,2024,1,11533,19531483.0,1693.5301309286397
Bihar,2024,2,49101,65285065.0,1329.6076454654692
Bihar,2024,3,44745,62777286.0,1403.0011397921555
Bihar,2024,4,62662,83739800.0,1336.372921387763
Bihar,2024,1,51592,63844442.0,1237.4872460846643
Punjab,2024,2,14129,27164397.0,1922.5986977139216
Punjab,2024,3,15509,30111034.0,1941.5200206331808
Punjab,2024,4,16279,31878987.0,1958.28902266724
Punjab,2024,1,14729,28213940.0,1915.5366963133954
Nagaland,2024,2,418,685292.0,1639.4545454545455
Nagaland,2024,3,410,820539.0,2001.3146341463414
Nagaland,2024,4,568,1168417.0,2057.0721830985917
Nagaland,2024,1,526,925684.0,1759.855513307985
Tripura,2024,2,2188,2869489.0,1311.4666361974405
Tripura,2024,3,2516,3323343.0,1320.883545310016
Tripura,2024,4,2794,3765732.0,1347.7924123120974
Tripura,2024,1,2637,3417568.0,1296.0060675009481
Mizoram,2024,2,214,331455.0,1548.8551401869158
Mizoram,2024,3,186,275746.0,1482.505376344086
Mizoram,2024,4,489,811687.0,1659.8916155419222
Mizoram,2024,1,277,427693.0,1544.0180505415162
Sikkim,2024,2,685,1590554.0,2321.9766423357664
Sikkim,2024,3,461,1029398.0,2232.9674620390456
Sikkim,2024,4,599,1381680.0,2306.644407345576
Sikkim,2024,1,400,880182.0,2200.455
Odisha,2024,2,24579,36840474.0,1498.859758330282
Odisha,2024,3,26524,40608651.0,1531.0153445935757
Odisha,2024,4,33165,46973224.0,1416.3492838836123
Odisha,2024,1,27977,40032495.0,1430.907352468099
Maharashtra,2024,2,118933,198945046.0,1672.748909049633
Maharashtra,2024,3,119776,201319952.0,1680.8037670317926
Maharashtra,2024,4,168078,266942711.0,1588.2073263603802
Maharashtra,2024,1,149016,224725389.0,1508.0621476888389
Meghalaya,2024,2,1235,2318007.0,1876.9287449392712
Meghalaya,2024,3,1140,2443878.0,2143.7526315789473
Meghalaya,2024,4,1313,2493656.0,1899.2048743335872
Meghalaya,2024,1,1030,1987107.0,1929.2300970873787
Haryana,2024,2,46085,74779879.0,1622.6511663230986
Haryana,2024,3,49735,79198642.0,1592.4126269226902
Haryana,2024,4,58808,94316512.0,1603.804108284587
Haryana,2024,1,50391,81816509.0,1623.6333670695165
Jammu & Kashmir,2024,2,7397,14237707.0,1924.7947816682438
Jammu & Kashmir,2024,3,7597,15554635.0,2047.4707121232066
Jammu & Kashmir,2024,4,8893,18252110.0,2052.4131339255596
Jammu & Kashmir,2024,1,7313,14695182.0,2009.4601394776425
Dadra & Nagar Haveli & Daman & Diu,2024,2,1008,1367259.0,1356.407738095238
Dadra & Nagar Haveli & Daman & Diu,2024,3,1052,1602869.0,1523.6397338403042
Dadra & Nagar Haveli & Daman & Diu,2024,4,1503,2292529.0,1525.3020625415836
Dadra & Nagar Haveli & Daman & Diu,2024,1,1295,1908509.0,1473.7521235521235
Lakshadweep,2024,2,26,33630.0,1293.4615384615386
Lakshadweep,2024,3,49,55312.0,1128.8163265306123
Lakshadweep,2024,4,159,185542.0,1166.9308176100628
Lakshadweep,2024,1,15,12935.0,862.3333333333334
Kerala,2024,2,65271,108142369.0,1656.821084401955
Kerala,2024,3,79123,131721699.0,1664.7712927972902
Kerala,2024,4,89533,144083113.0,1609.2738208258409
Kerala,2024,1,73106,115101791.0,1574.4506743632533
Telangana,2024,2,56941,96037304.0,1686.6107725540471
Telangana,2024,3,64873,110715264.0,1706.64627811262
Telangana,2024,4,78498,124755619.0,1589.2840454533873
Telangana,2024,1,67388,105607539.0,1567.1564521873331
Jharkhand,2024,2,22224,32245129.0,1450.9147318214543
Jharkhand,2024,3,23629,34353146.0,1453.8552626010412
Jharkhand,2024,4,29079,42253614.0,1453.0628288455587
Jharkhand,2024,1,24824,34332990.0,1383.0563164679343
Manipur,2024,2,346,647411.0,1871.1300578034682
Manipur,2024,3,285,587893.0,2062.782456140351
Manipur,2024,4,405,826159.0,2039.8987654320988
Manipur,2024,1,385,685052.0,1779.3558441558441
Ladakh,2024,2,415,964349.0,2323.732530120482
Ladakh,2024,3,446,978637.0,2194.2533632286995
Ladakh,2024,4,429,970334.0,2261.8508158508157
Ladakh,2024,1,291,614435.0,2111.460481099656
Puducherry,2024,2,2304,3322997.0,1442.2730034722222
Puducherry,2024,3,2600,3968523.0,1526.355
Puducherry,2024,4,2838,3896033.0,1372.8093727977448
Puducherry,2024,1,2702,3793554.0,1403.980014803849
Rajasthan,2024,2,55241,95504657.0,1728.8727032457775
Rajasthan,2024,3,64533,108827800.0,1686.3899090387863
Rajasthan,2024,4,73530,127930986.0,1739.8474908200735
Rajasthan,2024,1,59127,102926410.0,1740.7683461024574
Gujarat,2024,2,44007,63866463.0,1451.2796373304247
Gujarat,2024,3,46763,70950327.0,1517.2321493488441
Gujarat,2024,4,62526,91858105.0,1469.1185266928958
Gujarat,2024,1,44665,62633910.0,1402.304041195567
Andaman & Nicobar Islands,2024,2,1097,1744694.0,1590.4229717411122
Andaman & Nicobar Islands,2024,3,1191,1752800.0,1471.7044500419815
Andaman & Nicobar Islands,2024,4,1293,2026380.0,1567.1925754060326
Andaman & Nicobar Islands,2024,1,1371,1964556.0,1432.9365426695842
Assam,2024,2,22368,34796603.0,1555.6421226752504
Assam,2024,3,17633,31388971.0,1780.1265241308909
Assam,2024,4,21805,35336229.0,1620.5562485668424
Assam,2024,1,33097,48107248.0,1453.5229174849685
Karnataka,2024,2,142599,239304982.0,1678.1673223514892
Karnataka,2024,3,174990,287393291.0,1642.3412252128694
Karnataka,2024,4,183532,305861806.0,1666.5312098162717
Karnataka,2024,1,169357,264708700.0,1563.021900482413
Andhra Pradesh,2024,2,42547,62948281.0,1479.4998707311913
Andhra Pradesh,2024,3,48014,73915199.0,1539.450972632982
Andhra Pradesh,2024,4,61425,80028914.0,1302.8720227920228
Andhra Pradesh,2024,1,46582,63563802.0,1364.5571680048088
Arunachal Pradesh,2024,2,1147,2353015.0,2051.451612903226
Arunachal Pradesh,2024,3,842,1951385.0,2317.5593824228026
Arunachal Pradesh,2024,4,999,2359472.0,2361.833833833834
Arunachal Pradesh,2024,1,1100,2419700.0,2199.7272727272725
Goa,2024,2,5021,7178558.0,1429.7068313085042
Goa,2024,3,5354,8051690.0,1503.864400448263
Goa,2024,4,6662,9903374.0,1486.5466826778745
Goa,2024,1,5225,7528093.0,1440.7833492822967
Madhya Pradesh,2024,2,41429,73836667.0,1782.2459388351156
Madhya Pradesh,2024,3,43248,77995668.0,1803.4514428412874
Madhya Pradesh,2024,4,59688,101096769.0,1693.753669079212
Madhya Pradesh,2024,1,51223,85215982.0,1663.627315854206
Delhi,2024,2,46189,68046072.0,1473.2094654571436
Delhi,2024,3,49150,71139489.0,1447.395503560529
Delhi,2024,4,67962,94390728.0,1388.875077249051
Delhi,2024,1,53050,76232346.0,1436.9904995287466
Uttar Pradesh,2024,2,92458,159894258.0,1729.3718012502975
Uttar Pradesh,2024,3,92930,157303596.0,1692.7105993758744
Uttar Pradesh,2024,4,116589,199179867.0,1708.3933046856907
Uttar Pradesh,2024,1,103701,176442664.0,1701.4557622395155
Tamil Nadu,2024,2,97348,135972378.0,1396.7660147101121
Tamil Nadu,2024,3,116867,162128271.0,1387.288721367024
Tamil Nadu,2024,4,127002,173784251.0,1368.3583801829893
Tamil Nadu,2024,1,111521,148976175.0,1335.8575963271492
Chandigarh,2024,2,1798,3177315.0,1767.1384872080089
Chandigarh,2024,3,1991,3445738.0,1730.6569563033652
Chandigarh,2024,4,2095,3729932.0,1780.397136038186
Chandigarh,2024,1,1730,3143984.0,1817.3317919075143
West Bengal,2024,2,67048,89476633.0,1334.5160631189597
West Bengal,2024,3,77158,107451766.0,1392.6198968350657
West Bengal,2024,4,91719,120602777.0,1314.9159607060697
West Bengal,2024,1,79576,104987909.0,1319.341371770383
Chhattisgarh,2024,2,15724,25935743.0,1649.4367209361485
Chhattisgarh,2024,3,16550,27724060.0,1675.1697885196375
Chhattisgarh,2024,4,22723,37421165.0,1646.8408660828236
Chhattisgarh,2024,1,19579,30083259.0,1536.5064099290055
